Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2023-12-27 22:00:42,2023-12-28 22:00:36,UTC-08:00,51,46,86,33.30,97.00,15.3,2348,174,72,2023-12-27 22:00:42,2023-12-28 06:20:31,60,13.7,401,499,274,53,74,98,673,127,83,
2023-12-26 23:14:36,2023-12-27 22:00:42,UTC-08:00,65,49,117,33.79,97.15,18.5,3694,182,79,2023-12-26 23:14:36,2023-12-27 06:04:36,54,13.6,356,409,255,38,63,53,663,127,86,
2023-12-26 00:00:00,2023-12-26 23:14:36,UTC-08:00,,,,,,17.1,2429,178,74,,,,,,,,,,,,,,
2023-12-25 00:00:00,2023-12-26 00:00:00,UTC-08:00,,,,,,0.8,516,119,64,,,,,,,,,,,,,,
2023-12-22 22:00:17,2023-12-23 22:00:17,UTC-08:00,47,51,85,34.40,,16.6,2192,178,61,2023-12-22 22:00:17,2023-12-23 06:20:19,55,14.2,373,500,271,48,54,127,678,127,75,87
2023-12-21 21:23:20,2023-12-22 22:00:17,UTC-08:00,56,49,111,34.10,97.00,19.1,4051,180,79,2023-12-21 21:23:20,2023-12-22 06:20:07,51,14.1,333,536,189,78,66,203,659,127,66,76
2023-12-20 21:06:00,2023-12-21 21:23:20,UTC-08:00,17,52,50,34.20,,16.5,3193,179,73,2023-12-20 21:06:00,2023-12-21 06:48:00,46,15.1,294,582,174,63,57,288,641,98,53,61
2023-12-19 22:40:48,2023-12-20 21:06:00,UTC-08:00,40,57,69,33.49,96.86,18.0,3597,170,78,2023-12-19 22:40:48,2023-12-20 06:33:16,65,13.9,365,472,265,62,38,107,562,4,77,43
2023-12-18 21:00:54,2023-12-19 22:40:48,UTC-08:00,60,53,86,34.30,95.82,20.4,4744,183,71,2023-12-18 21:00:54,2023-12-19 06:25:54,99,13.9,471,565,226,93,152,94,478,76,85,19
2023-12-17 00:00:00,2023-12-18 21:00:54,UTC-08:00,5,120,45,,,14.3,2194,168,64,2023-12-17 17:13:13,2023-12-17 19:08:34,20,,115,115,115,0,0,0,563,76,100,
2023-12-14 22:01:52,2023-12-15 22:01:52,UTC-08:00,44,48,72,33.40,98.31,5.3,1699,128,70,2023-12-14 22:01:52,2023-12-15 09:00:17,81,13.4,497,658,347,83,67,161,617,110,79,56
2023-12-13 20:45:35,2023-12-14 22:01:52,UTC-08:00,60,50,93,34.10,98.86,12.5,2586,172,68,2023-12-13 20:45:35,2023-12-14 04:35:59,63,13.6,368,470,238,67,63,102,589,73,78,87
2023-12-12 21:00:57,2023-12-13 20:45:35,UTC-08:00,34,47,66,33.62,98.50,14.3,2764,178,67,2023-12-12 21:00:57,2023-12-13 06:50:45,81,13.7,474,589,325,62,87,115,588,67,83,85
2023-12-11 21:00:38,2023-12-12 21:00:57,UTC-08:00,87,49,125,34.20,99.10,15.0,2824,170,69,2023-12-11 21:00:38,2023-12-12 06:50:11,78,14.2,465,589,357,56,52,124,599,62,83,76
2023-12-10 21:00:10,2023-12-11 21:00:38,UTC-08:00,61,47,90,34.10,98.47,17.2,3200,177,72,2023-12-10 21:00:10,2023-12-11 06:49:36,83,13.6,484,589,298,80,106,105,582,92,84,58
2023-12-10 00:07:09,2023-12-10 21:00:10,UTC-08:00,34,51,57,33.94,95.74,6.8,1784,148,65,2023-12-10 00:07:09,2023-12-10 08:44:53,70,13.8,434,517,287,72,75,83,619,90,83,42
2023-12-08 21:00:04,2023-12-10 00:07:09,UTC-08:00,48,54,74,33.90,98.88,16.2,3319,176,69,2023-12-08 21:00:04,2023-12-09 06:20:27,71,14.2,446,560,239,60,147,114,626,84,81,80
2023-12-07 20:45:01,2023-12-08 21:00:04,UTC-08:00,,,,,,17.9,2538,188,82,,,,,,,,,,,,,,
2023-12-06 20:45:01,2023-12-07 20:45:01,UTC-08:00,89,52,127,34.70,96.64,18.2,3597,186,83,2023-12-06 20:45:01,2023-12-07 04:35:14,71,14.5,413,470,362,33,18,57,582,40,90,64
