Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled
2023-11-09 21:05:18,2023-11-10 21:00:44,UTC-08:00,2023-11-10 09:09:00,2023-11-10 10:04:00,55,Weightlifting,8.7,362.0,169,121,25,52,18,3,0,false
2023-11-09 21:05:18,2023-11-10 21:00:44,UTC-08:00,2023-11-10 07:03:00,2023-11-10 08:53:59,110,Swimming,14.4,1016.0,169,134,6,26,56,11,0,false
2023-11-08 20:40:47,2023-11-09 21:05:18,UTC-08:00,2023-11-09 16:01:30,2023-11-09 16:38:59,37,Swimming,7.5,276.0,154,125,6,73,21,0,0,false
2023-11-08 20:40:47,2023-11-09 21:05:18,UTC-08:00,2023-11-09 15:06:00,2023-11-09 15:41:59,35,Swimming,9.2,324.0,168,133,7,28,51,12,0,false
2023-11-08 20:40:47,2023-11-09 21:05:18,UTC-08:00,2023-11-09 05:19:30,2023-11-09 06:43:29,83,Swimming,11.5,612.0,162,125,16,43,36,2,0,false
2023-11-07 21:00:26,2023-11-08 20:40:47,UTC-08:00,2023-11-08 17:15:00,2023-11-08 17:55:13,40,Weightlifting,7.4,268.0,150,121,18,62,17,0,0,false
2023-11-07 21:00:26,2023-11-08 20:40:47,UTC-08:00,2023-11-08 15:03:00,2023-11-08 16:52:29,109,Swimming,14.2,919.0,170,130,15,21,45,13,0,false
2023-11-06 20:30:51,2023-11-07 21:00:26,UTC-08:00,2023-11-07 17:24:00,2023-11-07 18:11:09,47,Activity,9.3,383.0,156,129,14,47,38,1,0,false
2023-11-06 20:30:51,2023-11-07 21:00:26,UTC-08:00,2023-11-07 15:04:30,2023-11-07 17:01:29,116,Swimming,15.2,1120.0,171,136,9,24,53,14,0,false
2023-10-31 21:00:10,2023-11-01 20:45:27,UTC-07:00,2023-11-01 15:01:30,2023-11-01 16:11:59,70,Swimming,7.8,318.0,157,108,34,28,14,0,0,false
2023-10-30 20:45:17,2023-10-31 21:00:10,UTC-07:00,2023-10-31 05:16:30,2023-10-31 06:43:29,86,Swimming,10.8,534.0,159,118,26,36,27,0,0,false
2023-10-29 21:20:25,2023-10-30 20:45:17,UTC-07:00,2023-10-30 15:03:00,2023-10-30 16:58:29,115,Swimming,13.7,919.0,168,127,15,32,43,7,0,false
2023-10-27 21:00:26,2023-10-28 21:45:00,UTC-07:00,2023-10-28 07:00:00,2023-10-28 08:59:47,119,Swimming,15.7,1072.0,184,132,13,16,34,26,1,false
2023-10-26 21:40:17,2023-10-27 21:00:26,UTC-07:00,2023-10-27 17:07:30,2023-10-27 18:01:35,54,Weightlifting,8.0,304.0,164,115,55,28,14,3,0,false
2023-10-26 21:40:17,2023-10-27 21:00:26,UTC-07:00,2023-10-27 15:01:30,2023-10-27 16:49:29,107,Swimming,13.2,807.0,173,125,23,35,30,8,0,false
2023-10-25 20:45:09,2023-10-26 21:40:17,UTC-07:00,2023-10-26 15:00:00,2023-10-26 17:18:15,138,Swimming,14.5,1039.0,180,124,23,25,36,8,0,false
2023-10-25 20:45:09,2023-10-26 21:40:17,UTC-07:00,2023-10-26 05:13:30,2023-10-26 06:46:29,92,Swimming,13.6,850.0,161,133,5,33,54,7,0,false
2023-10-24 20:30:10,2023-10-25 20:45:09,UTC-07:00,2023-10-25 17:16:30,2023-10-25 18:13:05,56,Weightlifting,9.7,398.0,163,123,34,30,27,6,0,false
2023-10-24 20:30:10,2023-10-25 20:45:09,UTC-07:00,2023-10-25 15:00:30,2023-10-25 16:59:59,119,Swimming,16.0,1168.0,184,137,9,16,55,16,1,false
2023-10-23 21:19:34,2023-10-24 20:30:10,UTC-07:00,2023-10-24 15:00:00,2023-10-24 16:59:22,119,Swimming,15.8,1087.0,183,133,14,18,33,27,1,false
2023-10-23 21:19:34,2023-10-24 20:30:10,UTC-07:00,2023-10-24 05:15:00,2023-10-24 06:50:59,95,Swimming,15.5,1001.0,181,140,6,25,42,25,2,false
2023-10-22 21:00:56,2023-10-23 21:19:34,UTC-07:00,2023-10-23 17:45:00,2023-10-23 18:23:59,38,Weightlifting,6.1,188.0,147,111,50,41,4,0,0,false
2023-10-18 21:00:05,2023-10-19 20:45:05,UTC-07:00,2023-10-19 15:09:00,2023-10-19 16:44:30,95,Swimming,9.5,491.0,165,111,33,41,13,0,0,false
2023-10-18 21:00:05,2023-10-19 20:45:05,UTC-07:00,2023-10-19 05:13:30,2023-10-19 06:47:59,94,Swimming,13.8,858.0,171,133,8,35,46,10,0,false
2023-10-17 20:40:49,2023-10-18 21:00:05,UTC-07:00,2023-10-18 15:09:00,2023-10-18 17:22:22,133,Swimming,15.2,1164.0,186,131,6,36,44,8,1,false
2023-10-16 21:00:56,2023-10-17 20:40:49,UTC-07:00,2023-10-17 15:04:30,2023-10-17 17:01:29,116,Swimming,14.3,985.0,170,129,14,28,45,9,0,false
